image,summary_wikipedia,eventLabel,date,event,label,article,participants,article_en
http://commons.wikimedia.org/wiki/Special:FilePath/Locator%20Duchy%20of%20Guelders%20and%20County%20of%20Zutphen%20%281350%29.svg,"The First War of the Guelderian Succession was a battle for the throne of the Duchy of Guelders that raged between 1371 and 1379.
The war originated when Duke Reginald III died without issue in 1371. His brother, Edward, who had been killed in the Battle of Baesweiler earlier that same year, also left no offspring. The claimants to the ducal throne were their half-sisters: Matilda, who was married to John II, Count of Blois, and Maria, wife of William II of Jülich and mother to William I of Guelders and Jülich, on whose behalf she claimed the throne of Guelders.
14th-century Guelders was divided in two factions:

The Heeckerens supported Matilda, and were led by Frederik van Heeckeren van der Eze (1320-1386).
The Bronckhorsters supported William, and were led by Gijsbert V van Bronckhorst (1328-1356).The war lasted eight years, with Maria and her supporters emerging victorious, and Maria's son William becoming duke.",First War of the Guelderian Succession,1371-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1362154,,,,https://en.wikipedia.org/wiki/First_War_of_the_Guelderian_Succession
http://commons.wikimedia.org/wiki/Special:FilePath/Embarcament%20dels%20voluntaris%20catalans%20al%20port%20de%20Barcelona.jpg,"The Ten Years' War (Spanish: Guerra de los Diez Años; 1868–1878), also known as the Great War (Guerra Grande) and the War of '68, was part of Cuba's fight for independence from Spain. The uprising was led by Cuban-born planters and other wealthy natives. On 10 October 1868, sugar mill owner Carlos Manuel de Céspedes and his followers proclaimed independence, beginning the conflict. This was the first of three liberation wars that Cuba fought against Spain, the other two being the Little War (1879–1880) and the Cuban War of Independence (1895–1898). The final three months of the last conflict escalated with United States involvement, leading to the Spanish–American War.",Ten Years' War,1868-10-10T00:00:00Z,http://www.wikidata.org/entity/Q184637,,,"['Spain under the Restoration', ' Ejército Libertador Cubano']",https://en.wikipedia.org/wiki/Ten_Years'_War
http://commons.wikimedia.org/wiki/Special:FilePath/Elephant%20Pass%20armored%20bulldozer.JPG,"Eelam War II is the name given to the second phase of armed conflict between Sri Lankan military and the separatist Liberation Tigers of Tamil Eelam.  The war started after the failure of peace talks between the Premadasa government and the LTTE. This phase of the war was initiated by the LTTE who massacred almost 600 Sinhalese and Muslim police personnel after they were ordered by the Premadasa government to surrender to the LTTE.  The truce was broken on June 10, 1990 when the LTTE in October expelled all the 28,000 Muslims residing in Jaffna.",Eelam War II,1990-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11050383,,,"['Sri Lanka', ' Liberation Tigers of Tamil Eelam']",https://en.wikipedia.org/wiki/Eelam_War_II
http://commons.wikimedia.org/wiki/Special:FilePath/Operation25yu.jpg,"The invasion of Yugoslavia, also known as the April War or Operation 25, was a German-led attack on the Kingdom of Yugoslavia by the Axis powers which began on 6 April 1941 during World War II. The order for the invasion was put forward in ""Führer Directive No. 25"", which Adolf Hitler issued on 27 March 1941, following a Yugoslav coup d'état that overthrew the pro-Axis government.The invasion commenced with an overwhelming air attack on Belgrade and facilities of the Royal Yugoslav Air Force (VVKJ) by the Luftwaffe (German Air Force) and attacks by German land forces from southwestern Bulgaria. These attacks were followed by German thrusts from Romania, Hungary and the Ostmark (modern-day Austria, then part of Germany). Italian forces were limited to air and artillery attacks until 11 April, when the Italian army attacked towards Ljubljana (in modern-day Slovenia) and through Istria and Lika and down the Dalmatian coast. On the same day, Hungarian forces entered Yugoslav Bačka and Baranya, but like the Italians they faced practically no resistance. A Yugoslav attack into the northern parts of the Italian protectorate of Albania met with initial success, but was inconsequential due to the collapse of the rest of the Yugoslav forces.
Scholars have proposed several theories for the Royal Yugoslav Army's sudden collapse, including poor training and equipment, generals eager to secure a quick cessation of hostilities, and Croatian, Slovenian, and ethnic German fifth column activities. The latter has been questioned by scholars who have suggested that the fifth column had little effect on the ultimate outcome. The invasion ended when an armistice was signed on 17 April 1941, based on the unconditional surrender of the Yugoslav army, which came into effect at noon on 18 April. The Kingdom of Yugoslavia was then occupied and partitioned by the Axis powers. Most of Serbia and the Banat became a German zone of occupation while other areas of Yugoslavia were annexed by neighboring Axis countries, Germany, Hungary, Italy, Albania and Bulgaria. Croatia became the Independent State of Croatia (Serbo-Croatian Latin: Nezavisna Država Hrvatska, or NDH), an Axis puppet state created during the invasion comprising the Srem, Bosnia and Herzegovina as well as the Croatian lands. Along with Italy's stalled invasion of Greece on 28 October 1940, and the German-led invasion of Greece (Operation Marita) and invasion of Crete (Operation Merkur), the invasion of Yugoslavia was part of the German Balkan Campaign (German: Balkanfeldzug).",invasion of Yugoslavia,1941-04-18T00:00:00Z,http://www.wikidata.org/entity/Q697842,,,,https://en.wikipedia.org/wiki/Invasion_of_Yugoslavia
http://commons.wikimedia.org/wiki/Special:FilePath/Cenepa%20river%20basin.jpg,"The Cenepa War (26 January – 28 February 1995), also known as the Alto Cenepa War, was a brief and localized military conflict between Ecuador and Peru, fought over control of an area in Peruvian territory (i.e. in the eastern side of the Cordillera del Cóndor, Province of Condorcanqui, Región Amazonas, Republic of Perú) near the border between the two countries. The two nations had signed a border treaty following the Ecuadorian–Peruvian War of 1941, but Ecuador later disagreed with the treaty as it applied to the Cenepa and Paquisha areas, and in 1960 it declared the treaty null and void. Most of the fighting took place around the headwaters of the Cenepa River.
Mediation efforts of Argentina, Brazil, Chile and the United States paved the way for the opening of diplomatic conversations that ultimately led to the signing of a definitive peace agreement (the Brasilia Presidential Act) on 26 October 1998. The peace agreement saw some of the territory being leased to Ecuador for a time. It was followed by the formal demarcation of the border on 13 May 1999 and the end of the multinational MOMEP (Military Observer Mission for Ecuador and Peru) troop deployment on 17 June 1999, which effectively put an end to one of the longest territorial disputes in the Western Hemisphere.Official estimates give a death toll of 94. Demining is expected to be completed in 2024. As of 2023, it is the most recent military conflict in the Americas between countries contesting sovereignty over territory.",Cenepa War,1995-02-28T00:00:00Z,http://www.wikidata.org/entity/Q2337340,,,"['Ecuador', ' Peru']",https://en.wikipedia.org/wiki/Cenepa_War
http://commons.wikimedia.org/wiki/Special:FilePath/Magdeburg%201631.jpg,"The Thirty Years' War was one of the longest and most destructive conflicts in European history, lasting from 1618 to 1648. Fought primarily in Central Europe, an estimated 4.5 to 8 million soldiers and civilians died as a result of battle, famine, and disease, while some areas of modern Germany experienced population declines of over 50%. Related conflicts include the Eighty Years' War, the War of the Mantuan Succession, the Franco-Spanish War, the Dutch-Portuguese War and the Portuguese Restoration War.
The war was traditionally viewed as a continuation of the religious conflict initiated by the 16th-century Reformation within the Holy Roman Empire. The 1555 Peace of Augsburg attempted to resolve this by dividing the Empire into Lutheran and Catholic states, but over the next 50 years the expansion of Protestantism beyond these boundaries destabilised the settlement. However, while modern commentators accept differences over religion and Imperial authority were important factors in causing the war, they argue its scope and extent were driven by the contest for European dominance between Habsburg-ruled Spain and Austria, and the French House of Bourbon.Its outbreak is generally traced to 1618, when Emperor Ferdinand II was deposed as king of Bohemia and replaced by the Protestant Frederick V of the Palatinate. Although Imperial forces quickly suppressed the Bohemian Revolt, his participation expanded the fighting into the Palatinate, whose strategic importance drew in the Dutch Republic and Spain, then engaged in the Eighty Years' War. Since rulers like Christian IV of Denmark and Gustavus Adolphus of Sweden also held territories within the Empire, this gave them and other foreign powers an excuse to intervene, turning an internal dynastic dispute into a broader European conflict.
The first phase from 1618 until 1635 was primarily a civil war between German members of the Holy Roman Empire, with support from external powers. After 1635, the Empire became one theatre in a wider struggle between France, supported by Sweden, and Emperor Ferdinand III, allied with Spain. This concluded with the 1648 Peace of Westphalia, whose provisions included greater autonomy within the Empire for states like Bavaria and Saxony, as well as acceptance of Dutch independence by Spain. The conflict shifted the balance of power in favour of France, and set the stage for the expansionist wars of Louis XIV which dominated Europe for the next sixty years.",Thirty Years' War,1618-05-23T00:00:00Z,http://www.wikidata.org/entity/Q2487,,,"['Kingdom of Scotland', ' Dutch Republic', ' Sweden', ' Duchy of Brunswick-Lüneburg', ' Holy Roman Empire', ' Kingdom of England', ' Kingdom of Hungary', ' Electoral Palatinate', ' Spanish Empire', ' Principality of Transylvania', ' Electorate of Saxony', ' Brandenburg-Prussia', ' Denmark–Norway', ' Lands of the Bohemian Crown', ' Kingdom of France', ' Kingdom of Scotland', ' Dutch Republic', ' Sweden', ' Duchy of Brunswick-Lüneburg', ' Holy Roman Empire', ' Kingdom of England', ' Kingdom of Hungary', ' Electoral Palatinate', ' Spanish Empire', ' Principality of Transylvania', ' Electorate of Saxony', ' Brandenburg-Prussia', ' Denmark–Norway', ' Lands of the Bohemian Crown', ' Kingdom of France']",https://en.wikipedia.org/wiki/Thirty_Years'_War
http://commons.wikimedia.org/wiki/Special:FilePath/Belagerung%20von%20Courtrai%201667.jpg,"In the 1667 to 1668 War of Devolution (French: Guerre de Dévolution, Dutch: Devolutieoorlog), France occupied large parts of the Spanish Netherlands and Franche-Comté, both then provinces of the Holy Roman Empire under the sovereignty of the King of Spain. The name derives from an obscure law known as the Jus Devolutionis, used by Louis XIV of France to claim that these territories had ""devolved"" to him by right of marriage to Maria Theresa of Spain.
In the fighting, the French encountered minimal resistance; however, Louis was more concerned with asserting his inheritance rights in the Spanish Empire, and consequently returned much of his gains in the May 1668 Treaty of Aix-la-Chapelle. The terms were agreed to by Emperor Leopold I in January 1668, reinforced by the Triple Alliance of England, Sweden and the Dutch Republic.
The conflict marked the end of the long-standing Franco-Dutch alliance, and was the first of the French wars of expansion that dominated Europe for the next 50 years.",War of Devolution,1667-05-24T00:00:00Z,http://www.wikidata.org/entity/Q25857,,,,https://en.wikipedia.org/wiki/War_of_Devolution
http://commons.wikimedia.org/wiki/Special:FilePath/Batalla%20del%20Pasteral.jpg,"The Second Carlist War, or the War of the Matiners (Catalan for ""early-risers,"" so-called from the harassing action that took place at the earliest hours of the morning), was a civil war in Spain. Some historians consider it a direct Catalan revolt against Madrid, fought primarily in Catalonia by the Carlists under General Ramón Cabrera against the forces of the government of Isabella II. The uprising began in September 1846 and continued until May 1849, spreading to Galicia.
Theoretically, the war was fought to facilitate the marriage of Isabella II with the Carlist pretender, Carlos de Borbón (or Carlos VI), which was supported by some doctrinaire elements from the moderate party and by the Carlists. The marriage never took place, as Isabella II was wed to Francisco de Borbón.
The conflict was rather minor in the Basque Country in the Basque context, a central focus of Carlist uprisings, it was non-existent, so ""Second Carlist War"" invariably refers to the Third Carlist War. It coincided with the democratic Revolutions of 1848, when Maria Christina revoked the constitution of Ramón de Narváez. Narváez himself led the counterattack against the revolt in Galicia while Fernando de Córdova, captain-general of Catalonia, put down the isolated rebel cells in that region by early 1849. In June of that year, amnesty was granted to the Carlists and those who had fled returned.
The war caused between 3,000 and 10,000 casualties.",Second Carlist War,1846-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3025312,,,,https://en.wikipedia.org/wiki/Second_Carlist_War
http://commons.wikimedia.org/wiki/Special:FilePath/SiegeOfCuddalore1783.jpg,,Second Anglo-Mysore War,1780-01-01T00:00:00Z,http://www.wikidata.org/entity/Q233663,,,"['Great Britain', ' Dutch Republic', ' Kingdom of Mysore', ' Kingdom of France', ' Electorate of Brunswick-Lüneburg', ' East India Company']",https://en.wikipedia.org/wiki/Second_Anglo-Mysore_War
http://commons.wikimedia.org/wiki/Special:FilePath/Episodio%20delle%20cinque%20giornate%20%28Baldassare%20Verazzi%29.jpg,"The Five Days of Milan (Italian: Cinque giornate di Milano [ˈtʃiŋkwe dʒorˈnaːte di miˈlaːno]) was an insurrection and a major event in the Revolutionary Year of 1848 that started the First Italian War of Independence. On 18 March, a rebellion arose in the city of Milan which in five days of street fighting drove Marshal Radetzky and his Austrian soldiers from the city.",Five Days of Milan,1848-03-22T00:00:00Z,http://www.wikidata.org/entity/Q623164,,,"['Austrian Empire', ' Revolutions of 1848 in the Italian states']",https://en.wikipedia.org/wiki/Five_Days_of_Milan
