date,participants,eventLabel,article_en,summary_wikipedia,image,event
1248-01-01T00:00:00Z,,Seventh Crusade,https://en.wikipedia.org/wiki/Seventh_Crusade,"The Seventh Crusade (1248–1254) was the first of the two Crusades led by Louis IX of France. Also known as the Crusade of Louis IX to the Holy Land, it aimed to reclaim the Holy Land by attacking Egypt, the main seat of Muslim power in the Near East. The Crusade was conducted in response to setbacks in the Kingdom of Jerusalem, beginning with the loss of the Holy City in 1244, and was preached by Innocent IV in conjunction with a crusade against emperor Frederick II, Baltic rebellions and Mongol incursions.  It initially met with success but ended in defeat, with most of the army – including the king – captured by the Muslims.
Following his release, Louis stayed in the Holy Land for four years, doing what he could towards the re-establishment of the kingdom. The struggle between the papacy and Holy Roman Empire paralyzed Europe, with few answering Louis' calls for help following his capture and ransoming. The one answer was the Shepherds’ Crusade, started to rescue the king and meeting with disaster. In 1254, Louis returned to France having concluded some important treaties. The second of Louis' Crusades was his equally unsuccessful 1270 expedition to Tunis, the Eighth Crusade, where he died of dysentery shortly after the campaign landed.",http://commons.wikimedia.org/wiki/Special:FilePath/Seventh%20crusade.jpg,http://www.wikidata.org/entity/Q51661
1785-01-01T00:00:00Z,"['Great Britain', ' Chickasaw', ' Western Confederacy', ' United States of America', ' Choctaw']",Northwest Indian War,https://en.wikipedia.org/wiki/Northwest_Indian_War,"The Northwest Indian War (1785–1795), also known by other names, was an armed conflict for control of the Northwest Territory fought between the United States and a united group of Native American nations known today as the Northwestern Confederacy. The United States Army considers it the first of the American Indian Wars.Following centuries of conflict for control of this region, the land comprising the Northwest Territory was granted to the new United States by the Kingdom of Great Britain in article 2 of the Treaty of Paris, which ended the American Revolutionary War. The treaty used the Great Lakes as a border between British territory and the United States. This granted significant territory to the United States, initially known as the Ohio Country and the Illinois Country, which had previously been prohibited to new settlements. However, numerous Native American peoples inhabited this region, and the British maintained a military presence and continued policies that supported their Native allies. With the encroachment of European-American settlers west of the Appalachian Mountains after the war, a Huron-led confederacy formed in 1785 to resist the usurpation of Indian lands, declaring that lands north and west of the Ohio River were Indian territory.
Four years after the start of the British-supported Native American military campaign, the Constitution of the United States went into effect; George Washington was sworn in as president, which made him the commander-in-chief of U.S. military forces. Accordingly, Washington directed the United States Army to enforce U.S. sovereignty over the territory. The U.S. Army, consisting mostly of untrained recruits and volunteer militiamen, suffered a series of major defeats, including the Harmar campaign (1790) and St. Clair's defeat (1791), which are among the worst defeats ever suffered in the history of the U.S. Army.
St. Clair's devastating loss destroyed most of the United States Army and left the United States vulnerable. Washington was also under congressional investigation and was compelled to quickly raise a bigger army. He chose Revolutionary War veteran General Anthony Wayne to organize and train a proper fighting force. Wayne took command of the new Legion of the United States late in 1792 and spent a year building, training, and acquiring supplies. After a methodical campaign up the Great Miami and Maumee river valleys in western Ohio Country, Wayne led his Legion to a decisive victory at the Battle of Fallen Timbers near the southwestern shore of Lake Erie (near modern Toledo, Ohio) in 1794. Afterward, he went on to establish Fort Wayne at the Miami capital of Kekionga, the symbol of U.S. sovereignty in the heart of Indian Country and within sight of the British. The defeated tribes were forced to cede extensive territory, including much of present-day Ohio, in the Treaty of Greenville in 1795. The Jay Treaty in the same year arranged for cessions of British Great Lakes outposts on the U.S. territory. The British would later retake this land briefly during the War of 1812.",http://commons.wikimedia.org/wiki/Special:FilePath/Treaty%20of%20Greenville.jpg,http://www.wikidata.org/entity/Q2656995
1898-01-01T00:00:00Z,"['German Empire', ' United Kingdom of Great Britain and Ireland', ' United States of America']",Second Samoan Civil War,https://en.wikipedia.org/wiki/Second_Samoan_Civil_War,"The Second Samoan Civil War was a conflict that reached a head in 1898 when Germany, the United Kingdom, and the United States were locked in dispute over who should have control over the Samoan island chain, located in the South Pacific Ocean. 
At the war's conclusion in 1899, the United States was granted the eastern section of the islands, the Germans were granted the western section of the islands, and the British were given the northern Solomon Islands of Choiseul, Isabel and the Shortland Islands that had formerly belonged to Germany. The German half is now an independent nation – Samoa. The U.S. half still remains under the control of the U.S. government as the territory of American Samoa.",http://commons.wikimedia.org/wiki/Special:FilePath/Second%20Samoan%20Civil%20War.gif,http://www.wikidata.org/entity/Q4120277
1832-01-01T00:00:00Z,['British Empire'],Black War,https://en.wikipedia.org/wiki/Black_War,"The Black War was a period of violent conflict between British colonists and Aboriginal Tasmanians in Tasmania from the mid-1820s to 1832. The conflict, fought largely as a guerrilla war by both sides, claimed the lives of 600 to 900 Aboriginal people and more than 200 British colonists. The near-destruction of the Aboriginal Tasmanians and the frequent incidence of mass killings have sparked debate among historians over whether the Black War should be defined as an act of genocide.",http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Duterrau%20-%20Timmy%2C%20a%20Tasmanian%20Aboriginal%2C%20throwing%20a%20spear%20-%20Google%20Art%20Project.jpg,http://www.wikidata.org/entity/Q880629
1217-01-01T00:00:00Z,,Fifth Crusade,https://en.wikipedia.org/wiki/Fifth_Crusade,"The Fifth Crusade (1217–1221) was a campaign in a series of Crusades by Western Europeans to reacquire Jerusalem and the rest of the Holy Land by first conquering Egypt, ruled by the powerful Ayyubid sultanate, led by al-Adil, brother of Saladin.
After the failure of the Fourth Crusade, Innocent III again called for a crusade, and began organizing Crusading armies led by Andrew II of Hungary and Leopold VI of Austria, soon to be joined by John of Brienne, titular King of Jerusalem. An initial campaign in late 1217 in Syria was inconclusive, and Andrew departed. A German army led by cleric Oliver of Paderborn, and a mixed army of Dutch, Flemish and Frisian soldiers led by William I of Holland, then joined the Crusade in Acre, with a goal of first conquering Egypt, viewed as the key to Jerusalem. There, cardinal Pelagius Galvani arrived as papal legate and de facto leader of the Crusade, supported by John of Brienne and the masters of the Templars, Hospitallers and Teutonic Knights. Holy Roman Emperor Frederick II, who had taken the cross in 1215, did not participate as promised.
Following the successful siege of Damietta in 1218–1219, the Crusaders occupied the port for two years. Al-Kamil, now sultan of Egypt, offered attractive peace terms, including the restoration of Jerusalem to Christian rule. The sultan was rebuked by Pelagius several times, and the Crusaders marched south towards Cairo in July 1221. En route, they attacked a stronghold of al-Kamil at the battle of Mansurah, but they were defeated, forced to surrender. The terms of surrender included the retreat from Damietta—leaving Egypt altogether—and an eight-year truce. The Fifth Crusade ended in September 1221, a Crusader defeat that failed to achieve its goals.",http://commons.wikimedia.org/wiki/Special:FilePath/Capturing%20Damiate.jpg,http://www.wikidata.org/entity/Q51659
1691-10-03T00:00:00Z,"['Dutch Republic', ' Kingdom of England', ' Kingdom of Scotland', ' Jacobitism', ' Kingdom of France']",Williamite War in Ireland,https://en.wikipedia.org/wiki/Williamite_War_in_Ireland,"The Williamite War in Ireland  took place from March 1689 to October 1691. Fought between supporters of James II and his successor, William III, it resulted in a Williamite victory. It is generally viewed as a related conflict of the 1688 to 1697 Nine Years' War.
In November 1688, the Glorious Revolution replaced the Catholic James with his Protestant daughter Mary II and her husband William, who ruled as joint monarchs of England, Ireland and Scotland. James retained considerable support in largely Catholic Ireland, where his supporters, known as Jacobites, hoped he would address long-standing grievances on land ownership, religion and civic rights. Most Irish Protestants fought for William, although some members of the Protestant Church of Ireland supported James.The war began in March 1689 with a series of skirmishes between James's Irish Army, which had stayed loyal in 1688, and Protestant militia. Fighting culminated in the siege of Derry, where the Jacobites failed to regain control of one of the north's key towns. This enabled William to land an expeditionary force, which defeated the main Jacobite army at the Boyne in July 1690. James returned to France after the battle, while the Jacobites were decisively defeated at Aughrim in 1691. The war ended with the Treaty of Limerick in October 1691.
One contemporary witness, George Story, calculated the war cost over 100,000 lives through sickness, famine, and in battle. Subsequent Jacobite risings were confined to Scotland and England, but the war was to have a lasting effect on the political and cultural landscape of Ireland, confirming British and Protestant rule over the country for over two centuries. While the Treaty of Limerick had offered a series of guarantees to Catholics, subsequent extension of the Penal Laws, particularly during the War of the Spanish Succession, would further erode their civic rights.

",http://commons.wikimedia.org/wiki/Special:FilePath/BattleOfBoyne.png,http://www.wikidata.org/entity/Q2320981
1826-01-01T00:00:00Z,"['Thailand', ' Kingdom of Vientiane', ' Kingdom of Champasak']",Laotian Rebellion,https://en.wikipedia.org/wiki/Lao_rebellion_(1826–1828),,,http://www.wikidata.org/entity/Q6407091
1878-01-01T00:00:00Z,"['German Empire', ' Nauru']",Nauruan Civil War,https://en.wikipedia.org/wiki/Nauruan_Civil_War,"The Nauruan Civil War was fought from 1878 to 1888, between forces loyal to incumbent King Aweida of Nauru and those seeking to depose him in favour of a rival claimant. The war was preceded by the introduction of firearms to the island and its inhabitants, Nauruans, as a whole. For the majority of the war, the loyalists and the rebels found themselves in a stalemate, with one side controlling the northern and the other the southern part of the island. 
In 1888, the German Empire intervened by restoring Aweida to the throne and confiscating combatants' firearms; by the time they had finished, the German soldiers had confiscated 791 rifles from both belligerents, nearly one gun per every remaining living inhabitant of the island. By historical estimates, Nauru had a population of approximately 1,400 in 1848; by the end of war, there were about 900 inhabitants.Having effectively been put under German control with the civil war's ceasefire, Nauru was shortly thereafter annexed into the German colonial empire, as part of German New Guinea.",http://commons.wikimedia.org/wiki/Special:FilePath/Nauruan-warrior-1880ers.jpg,http://www.wikidata.org/entity/Q519546
2021-10-20T00:00:00Z,,2021 Tripura riots,https://en.wikipedia.org/wiki/2021_Tripura_riots,"The 2021 Tripura riots happened in the eponymous state of north-eastern India.
The riots started on 20 October 2021, mainly triggered by the vandalisations of ""mosques"" in the state. The situation deteriorated after several rallies were taken out by Vishwa Hindu Parishad (VHP) on 21 and 26 October. Some miscreants attacked a small mosque, some shops and houses belonging to families from the minority community during the rally. Section 144 was imposed soon after.",,http://www.wikidata.org/entity/Q109535929
1620-01-01T00:00:00Z,"['Ottoman Empire', ' Polish–Lithuanian Commonwealth']",Polish–Ottoman War of 1620–1621,https://en.wikipedia.org/wiki/Polish–Ottoman_War_(1620–1621),,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B3zef%20Brandt%2C%20Bitwa%20pod%20Chocimiem.jpg,http://www.wikidata.org/entity/Q277392
