image,eventLabel,date,event,participants,article_en
,,,http://www.wikidata.org/entity/Q1006077,Aetolian League; Acarnania; Epirote League; Boeotia; Achaean League; Macedonia; Ancient Elis; Messene; Sparta,
http://commons.wikimedia.org/wiki/Special:FilePath/Bataille%20entre%20mongols%20%26%20chinois%20%281211%29.jpeg,Mongol conquest of the Jin dynasty,1211-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1014253,Mongol Empire; Khitan people; Jin dynasty; Song dynasty; Western Xia,https://en.wikipedia.org/wiki/Mongol_conquest_of_the_Jin_dynasty
,,,http://www.wikidata.org/entity/Q1016077,Francia; Burgundy,
http://commons.wikimedia.org/wiki/Special:FilePath/Loup-Orleans-lion-Bourgogne.jpg,Armagnac–Burgundian Civil War,1435-09-30T00:00:00Z,http://www.wikidata.org/entity/Q1021160,Burgundian party; Armagnac,https://en.wikipedia.org/wiki/Armagnac%E2%80%93Burgundian_Civil_War
http://commons.wikimedia.org/wiki/Special:FilePath/Location%20Republic%20of%20the%20Congo%20AU%20Africa.svg,Republica oficina the Congo Civil War,1999-12-29T00:00:00Z,http://www.wikidata.org/entity/Q1021172,Rwanda; Angola; Chad; Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997%E2%80%931999)
http://commons.wikimedia.org/wiki/Special:FilePath/Juliusz%20Kossak%20Odsiecz%20Smolenska.jpeg,Polish–Muscovite War,1605-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1044829,Sweden; Tsardom of Russia; Polish–Lithuanian Commonwealth; Sweden; Tsardom of Russia; Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Polish%E2%80%93Muscovite_War_(1605%E2%80%931618)
,,,http://www.wikidata.org/entity/Q104881979,Regency of Algiers; Kingdom of France,
,Cayuse War,1847-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1052060,Cayuse people; United States of America,https://en.wikipedia.org/wiki/Cayuse_War
http://commons.wikimedia.org/wiki/Special:FilePath/335%20years%20war%20locations.png,Three Hundred and Thirty Five Years' War,1986-04-17T00:00:00Z,http://www.wikidata.org/entity/Q1054482,Isles of Scilly; Netherlands,https://en.wikipedia.org/wiki/Three_Hundred_and_Thirty_Five_Years%27_War
,,,http://www.wikidata.org/entity/Q105542905,Jalisco New Generation Cartel; Jalisco New Generation Cartel; Los Chapitos; Los Chapitos,
,,,http://www.wikidata.org/entity/Q105624223,Sparta; Elis,
,,,http://www.wikidata.org/entity/Q105973572,Chamorro people; Spanish Empire,
http://commons.wikimedia.org/wiki/Special:FilePath/PigWar-boundaries.png,Pig War,1859-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1064335,United Kingdom; United States of America,https://en.wikipedia.org/wiki/Pig_War_(1859)
,,,http://www.wikidata.org/entity/Q106596669,Romanian Armed Forces,
,,,http://www.wikidata.org/entity/Q106619215,Empire of Japan,
,,,http://www.wikidata.org/entity/Q106628153,"Portuguese Empire; Rui Gomes da Silva, 1.º alcaide de Campo Maior; Aderamem; Pedro de Menezes, 1st Count of Vila Real; Álvaro Pinto, o Moço; Marinid dynasty",
,,,http://www.wikidata.org/entity/Q106640290,Republic of China; Empire of Japan; Collaborationist Chinese Army; Qing dynasty,
